model,year,mileage,description,price,price_status,source_url,scrape_date
بنز، کلاس E,2015,"26,000 km",E250,11500000000,fixed,https://bama.ir/car/detail-unshacge-mercedesbenz-eclass-e250-2015,2025-11-10
بنز، کلاس E,2016,"90,000 km",E250,توافقی,negotiable,https://bama.ir/car/detail-h91dulm4-mercedesbenz-eclass-e250-2016,2025-11-10
بنز، کلاس E,2017,"70,000 km",E200,توافقی,negotiable,https://bama.ir/car/detail-sdm0l52g-mercedesbenz-eclass-e200-2017,2025-11-10
بنز، کلاس E,2011,"100,000 km",E300,توافقی,negotiable,https://bama.ir/car/detail-f3bhydy7-mercedesbenz-eclass-e300-2011,2025-11-10
بنز، کلاس E,2014,کارکرده,E250,7000000000,fixed,https://bama.ir/car/detail-pxrnkng6-mercedesbenz-eclass-e250-2014,2025-11-10
بنز، کلاس E,2014,"130,000 km",E200,6900000000,fixed,https://bama.ir/car/detail-zy0sdjj3-mercedesbenz-eclass-e200-2014,2025-11-10
بنز، کلاس E,2015,"99,000 km",E250,توافقی,negotiable,https://bama.ir/car/detail-eorxbwl7-mercedesbenz-eclass-e250-2015,2025-11-10
بنز، کلاس E,2016,"200,000 km",E250,8500000000,fixed,https://bama.ir/car/detail-udhqvaxm-mercedesbenz-eclass-e250-2016,2025-11-10
بنز، کلاس E,2015,"64,000 km",E250,11000000000,fixed,https://bama.ir/car/detail-wubrvxjy-mercedesbenz-eclass-e250-2015,2025-11-10
بنز، کلاس E,2014,"242,000 km",E200,توافقی,negotiable,https://bama.ir/car/detail-xxqnetlb-mercedesbenz-eclass-e200-2014,2025-11-10
بنز، کلاس E,2012,"188,000 km",E350,7000000000,fixed,https://bama.ir/car/detail-t4t1afn5-mercedesbenz-eclass-e350-2012,2025-11-10
بنز، کلاس E (مونتاژ),1389,"150,000 km",E280,توافقی,negotiable,https://bama.ir/car/detail-wmfciglo-mercedesbenz-eclassir-e280-1389,2025-11-10
بنز، کلاس E کروک,2013,"55,000 km",E350,توافقی,negotiable,https://bama.ir/car/detail-rkawtjeg-mercedesbenz-eclassconvertible-e350-2013,2025-11-10
بنز، کلاس E کروک,2012,"165,000 km",E350,6500000000,fixed,https://bama.ir/car/detail-fe3iay6r-mercedesbenz-eclassconvertible-e350-2012,2025-11-10
بنز، کلاس EQA,2024,صفر کیلومتر,EQA260,توافقی,negotiable,https://bama.ir/car/detail-2gzqfibp-mercedesbenz-eqa-260-2024,2025-11-10
بنز، کلاس EQB,2024,صفر کیلومتر,EQB260,توافقی,negotiable,https://bama.ir/car/detail-z2keqsvn-mercedesbenz-eqb-eqb260-2024,2025-11-10
